zone_id,zone_name,source_geography,is_estimate,project_capacity_weight,allocation_share,crime_category,crime_metric,district_reported_crime_count,estimated_zone_crime_count,allocation_method
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,24,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,12,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,10,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,19,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,7,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",Rape (Total a+b),87,15,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,24,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,12,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,10,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,19,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,7,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",a) Women (18 Years and Above),87,15,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,"Rape (Sec 64-68,70-71 BNS/Sec.376 IPC)",b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,1,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,1,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Sexual Intercourse by employing deceitful means (Sec 69 BNS),3,1,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,"Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)","Murder with Rape/Gang Rape (Sec 103 r/w Sec 64-68,70-71 BNS/ Sec 302 r/w 376 IPC)",0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,1,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),Attempt to commit Rape (Total a+b),1,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,1,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),a) Women (18 Years and Above),1,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Attempt to commit Rape (Sec 64 r/w 62 BNS/Sec.376 r/w 511 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
